route_id,name,ref,from_stop,to_stop,operator,network,route_type,coord_count
14735091,46 (3-10) สี่พระยา - ม.รามคำแหง 2,46 (3-10),,,Sitthi Chanchai,DLT,bus,31
14742681,552 (3-25E) ปากน้ำ - นิคมอุตสาหกรรมลาดกระบัง,552 (3-25E),ปากน้ำ,นิคมอุตสาหกรรมลาดกระบัง,TSB,TSB,bus,27
14742682,552 (3-25E) นิคมอุตสาหกรรมลาดกระบัง - ปากน้ำ,552 (3-25E),นิคมอุตสาหกรรมลาดกระบัง,ปากน้ำ,TSB,TSB,bus,41
14742964,105 (4-18) สมุทรสาคร - คลองสาน,105 (4-18),,,BMTA,BMTA,bus,59
14742965,105 (4-18) คลองสาน - สมุทรสาคร,105 (4-18),,,BMTA,BMTA,bus,66
14748672,4-34 วงกลม : พระประแดง - เคหะธนบุรี (วนขวา),4-34,,,TSB,TSB,bus,35
14751978,23E (3-4E) ปากน้ำ - เทเวศร์,23E (3-4E),,,BMTA,BMTA,bus,41
14751979,23E (3-4E) เทเวศร์ - ปากน้ำ,23E (3-4E),,,BMTA,BMTA,bus,41
14771838,2 (3-1) ปากน้ำ - สะพานพุทธ,2 (3-1),,,TSB,TSB,bus,38
14771839,2 (3-1) สะพานพุทธ - ปากน้ำ,2 (3-1),,,TSB,TSB,bus,43
14771841,2E (3-2E) ท่าน้ำปู่เจ้าฯ - สะพานพุทธ,2E (3-2E),,,TSB,TSB,bus,45
14771842,2E (3-2E) สะพานพุทธ - ท่าน้ำปู่เจ้าฯ,2E (3-2E),,,TSB,TSB,bus,39
14772659,173 (4-27E) บางขุนเทียน - แฮปปี้แลนด์ (ทางด่วน),173 (4-27E),,,TSB,TSB,bus,72
14772660,173 (4-27E) แฮปปี้แลนด์ - บางขุนเทียน (ทางด่วน),173 (4-27E),,,TSB,TSB,bus,51
14784273,27 (1-37) มีนบุรี - วิภาวดี - อนุสาวรีย์ชัยสมรภูมิ,27 (1-37),,,TSB,TSB,bus,48
14784274,27 (1-37) อนุสาวรีย์ชัยสมรภูมิ - วิภาวดี - มีนบุรี,27 (1-37),,,TSB,TSB,bus,73
14864830,34 (1-3) บางเขน - หัวลำโพง,34 (1-3),,,TSB,TSB,bus,28
14864831,34 (1-3) หัวลำโพง - บางเขน,34 (1-3),,,TSB,TSB,bus,23
14938354,515 (4-61) เซ็นทรัลศาลายา - อนุสาวรีย์ชัยสมรภูมิ,515 (4-61),,,TSB,TSB,bus,53
14938355,515 (4-61) อนุสาวรีย์ชัยสมรภูมิ - เซ็นทรัลศาลายา,515 (4-61),,,TSB,TSB,bus,57
14938357,170 (4-49) พุทธมณฑลสาย 2 - หมอชิต 2,170 (4-49),,,TSB,TSB,bus,44
14938358,170 (4-49) หมอชิต 2 - พุทธมณฑลสาย 2,170 (4-49),,,TSB,TSB,bus,42
14938718,525 (1-58) สวนสยาม - ลำลูกกา คลอง 12,525 (1-58),,,TSB,TSB,bus,16
14938719,525 (1-58) ลำลูกกา คลอง 12 - สวนสยาม,525 (1-58),,,TSB,TSB,bus,11
14938721,526 (1-59) สวนสยาม - หมู่บ้านเอื้ออาทรสันติสุข,526 (1-59),,,TSB,TSB,bus,29
14938722,526 (1-59) หมู่บ้านเอื้ออาทรสันติสุข - สวนสยาม,526 (1-59),,,TSB,TSB,bus,29
14980245,146 (4-52) วงกลม : ตลิ่งชัน - บางแค (วนขวา),146 (4-52),,,TSB,TSB,bus,45
14980246,146 (4-52) วงกลม : ตลิ่งชัน - บางแค (วนซ้าย),146 (4-52),,,TSB,TSB,bus,37
14980248,1-62 มีนบุรี - กระทรวงพาณิชย์,1-62,,,TSB,TSB,bus,15
14980249,1-62 กระทรวงพาณิชย์ - มีนบุรี,1-62,,,,TSB,bus,15
14980679,517 (1-56) พระจอมเกล้าลาดกระบัง - อนุสาวรีย์ชัยสมรภูมิ,517 (1-56),,,TSB,TSB,bus,35
14980680,517 (1-56) อนุสาวรีย์ชัยสมรภูมิ - พระจอมเกล้าลาดกระบัง,517 (1-56),,,TSB,TSB,bus,29
14999163,26A (1-77) มีนบุรี - คลองเตย,26A (1-77),,,TSB,TSB,bus,48
14999164,26A (1-77) คลองเตย - มีนบุรี,26A (1-77),,,TSB,TSB,bus,43
14999166,3-52 วงกลม : เซ็นทรัลพระราม 3 - หัวลำโพง (วนขวา),3-52,,,TSB,TSB,bus,25
14999167,3-52 วงกลม : เซ็นทรัลพระราม 3 - หัวลำโพง (วนซ้าย),3-52,,,TSB,TSB,bus,23
15000231,1 (3-35) เซ็นทรัลพระราม 3 - สนามหลวง,1 (3-35),,,TSB,TSB,bus,36
15000232,1 (3-35) สนามหลวง - เซ็นทรัลพระราม 3,1 (3-35),,,TSB,TSB,bus,36
15000234,143 (1-47) นิคมอุตสาหกรรมนำไกร - มีนบุรี,143 (1-47),,,TSB,TSB,bus,47
15000235,143 (1-47) มีนบุรี - นิคมอุตสาหกรรมนำไกร,143 (1-47),,,TSB,TSB,bus,50
15000237,1-71 วงกลม : มีนบุรี - นิคมอุตสาหกรรมลาดกระบัง (วนขวา),1-71,,,TSB,TSB,bus,48
15000238,1-71 วงกลม : มีนบุรี - นิคมอุตสาหกรรมลาดกระบัง (วนซ้าย),1-71,,,TSB,TSB,bus,55
15002993,64 (2-11) กระทรวงสาธารณสุข - สนามหลวง,64 (2-11),,,TSB,TSB,bus,10
15002994,64 (2-11) สนามหลวง - กระทรวงสาธารณสุข,64 (2-11),,,TSB,TSB,bus,28
15002996,1-63 ปัฐวิกรณ์ - สวนหลวงพระราม 8,1-63,,,TSB,TSB,bus,48
15002997,1-63 สวนหลวงพระราม 8 - ปัฐวิกรณ์,1-63,,,TSB,TSB,bus,47
15045139,513 (3-23E) สำโรง - ศูนย์ราชการฯ แจ้งวัฒนะ,513 (3-23E),,,TSB,TSB,bus,15
15045140,513 (3-23E) ศูนย์ราชการฯ แจ้งวัฒนะ - สำโรง,513 (3-23E),,,TSB,TSB,bus,21
15045142,14 (3-39) ถนนตก - ศรีย่าน,14 (3-39),,,TSB,TSB,bus,45
15045143,14 (3-39) ศรีย่าน - ถนนตก,14 (3-39),,,TSB,TSB,bus,43
15045196,3-27 ท่าน้ำปู่เจ้าฯ - สวนสยาม,3-27,,,TSB,TSB,bus,66
15045197,3-27 สวนสยาม - ท่าน้ำปู่เจ้าฯ,3-27,,,TSB,TSB,bus,70
15045238,3-32 สำโรง - สวนสยาม,3-32,,,TSB,TSB,bus,50
15045239,3-32 สวนสยาม - สำโรง,3-32,,,TSB,TSB,bus,42
15061586,3-44 ท่าเรือคลองเตย - อนุสาวรีย์ชัยสมรภูมิ,3-44,,,TSB,TSB,bus,13
15061587,3-44 อนุสาวรีย์ชัยสมรภูมิ - ท่าเรือคลองเตย,3-44,,,TSB,TSB,bus,20
15061588,3-54 ท่าน้ำภาษีเจริญ - อนุสาวรีย์ชัยสมรภูมิ,3-54,,,TSB,TSB,bus,39
15061589,3-54 อนุสาวรีย์ชัยสมรภูมิ - ท่าน้ำภาษีเจริญ,3-54,อนุสาวรีย์ชัยสมรภูมิ,ท่าน้ำภาษีเจริญ,TSB,TSB,bus,49
15061674,3-55 ท่าเรือคลองเตย - พระราม 7,3-55,,,TSB,TSB,bus,21
15061675,3-55 พระราม 7 - ท่าเรือคลองเตย,3-55,,,TSB,TSB,bus,26
15061804,S5 (550) แฮปปี้แลนด์ - ท่าอากาศยานสุวรรณภูมิ,S5 (550),,,,TSB,bus,35
15061805,S5 (550) ท่าอากาศยานสุวรรณภูมิ - แฮปปี้แลนด์,S5 (550),,,,TSB,bus,35
15061807,1-73 วงกลม : นิคมอุตสาหกรรมนำไกร - ร่มเกล้า (วนขวา),1-73,,,TSB,TSB,bus,37
15061808,1-73 วงกลม : นิคมอุตสาหกรรมนำไกร - ร่มเกล้า (วนซ้าย),1-73,,,TSB,TSB,bus,35
15073268,1-9E ม.ธรรมศาสตร์ ศูนย์รังสิต - สนามหลวง,1-9E,,,TSB,TSB,bus,15
15073269,1-9E สนามหลวง - ม.ธรรมศาสตร์ ศูนย์รังสิต,1-9E,,,TSB,TSB,bus,18
15089406,157 (4-54E) อ้อมใหญ่ - อนุสาวรีย์ชัยสมรภูมิ,157 (4-54E),,,TSB,TSB,bus,68
15089407,157 (4-54E) อนุสาวรีย์ชัยสมรภูมิ - อ้อมใหญ่,157 (4-54E),,,TSB,TSB,bus,57
15089469,11 (3-3) สวนหลวง ร.9 - สนามกีฬาแห่งชาติ,11 (3-3),,,EXA Logistic,TSB,bus,21
15089470,11 (3-3) สนามกีฬาแห่งชาติ - สวนหลวง ร.9,11 (3-3),,,EXA Logistic,TSB,bus,29
15095990,S4 (549) มีนบุรี - ท่าอากาศยานสุวรรณภูมิ,S4 (549),,,,TSB,bus,41
15095991,S4 (549) ท่าอากาศยานสุวรรณภูมิ - มีนบุรี,S4 (549),,,,TSB,bus,37
15097953,165 (4-56) ศาลาธรรมสพน์ - สถานีรถไฟฟ้ากรุงธนบุรี,165 (4-56),,,TSB,TSB,bus,36
15097954,165 (4-56) สถานีรถไฟฟ้ากรุงธนบุรี - ศาลาธรรมสพน์,165 (4-56),,,,TSB,bus,38
15097956,163 (4-55) ศาลายา - สนามกีฬาแห่งชาติ,163 (4-55),,,TSB,TSB,bus,63
15097957,163 (4-55) สนามกีฬาแห่งชาติ - ศาลายา,163 (4-55),,,TSB,TSB,bus,61
15097959,4-67 ศาลายา - กระทรวงพาณิชย์,4-67,,,TSB,TSB,bus,47
15097960,4-67 กระทรวงพาณิชย์ - ศาลายา,4-67,,,TSB,TSB,bus,40
15098509,3-34 บางนา - นิคมอุตสาหกรรมลาดกระบัง,3-34,,,,TSB,bus,51
15098510,3-34 นิคมอุตสาหกรรมลาดกระบัง - บางนา,3-34,,,,TSB,bus,48
15098900,1-64 วงกลม : ซาฟารีเวิลด์ - นวลจันทร์ (วนขวา),1-64,,,TSB,TSB,bus,13
15098901,1-64 วงกลม : ซาฟารีเวิลด์ - นวลจันทร์ (วนซ้าย),1-64,,,TSB,TSB,bus,11
15098903,1-76 วงกลม : หมู่บ้านบัวขาว - มีนบุรี (วนขวา),1-76,,,TSB,TSB,bus,56
